p.geomean	stat.mean	p.val	q.val	set.size	sorb_1	sorb_2	sorb_3
Valine, leucine and isoleucine biosynthesis	0.0268068298334796	0.414552774781628	0.00285725338996286	0.0101591231643124	17	0.0424512947803679	0.0237108615890859	0.139741435262672
Glutathione metabolism	0.0644721588072159	0.217143805018326	0.00631914286983483	0.0212855338773384	54	0.18215060215622	0.0626925971371574	0.0300788187137233
Arginine and proline metabolism	0.0130227578543586	0.302742402883641	0.0067253717345628	0.021521189550601	36	0.630548044463862	8.53543257577417e-05	0.196158838660895
Photosynthesis	0.0632529538474398	0.323426646570934	0.0075846987685407	0.0231152724374574	74	0.0479484209668741	0.0178162623462873	0.330048497577926
Lipoic acid metabolism	0.0826890173875129	0.34269481125427	0.0111875975993212	0.0322182289968948	32	0.118172607460105	0.0669148458679007	0.101587953803195
Ascorbate and aldarate metabolism	0.0635463751636206	0.325631943678638	0.0115784260457591	0.0322182289968948	27	0.234469796192326	0.0649448560816692	0.0450887162879258
Sulfur metabolism	0.0548786228827019	0.360445973904568	0.0132017038432344	0.0340442617678694	27	0.429922217742925	0.00248251352775102	0.194983134122542
Cysteine and methionine metabolism	0.0330235987225539	0.362418129763249	0.013298539753074	0.0340442617678694	68	0.0690051983755063	0.0488132416708106	0.241681369430611
Nicotinate and nicotinamide metabolism	0.0792487985170159	0.277793009946538	0.0188411854566178	0.0463783026624439	24	0.107133491759053	0.101945933427905	0.138463089403656
Pantothenate and CoA biosynthesis	0.103389839765204	0.225117718989385	0.0223036625537177	0.0528679408680715	24	0.11520480092752	0.0559258382504897	0.245312564456274
Sphingolipid metabolism	0.0947425630808429	0.269781740876702	0.0246841496593417	0.0564209135070668	16	0.0799992679998505	0.0446370234356167	0.382145223308351
Nitrogen metabolism	0.0872580656434249	0.290092149210526	0.0353657289169354	0.0780485051959954	32	0.378025596123746	0.0116647047701362	0.290648509308403
Phenylalanine, tyrosine and tryptophan biosynthesis	0.0673545290573425	0.417298890753799	0.0507624068584431	0.108293134631345	26	0.309573040937649	0.0304098158420077	0.321188480283091
Galactose metabolism	0.135228323327989	0.228742894688269	0.0625728469961873	0.129182651863096	36	0.272843539941205	0.449294976183347	0.0271477888192989
Oxidative phosphorylation	0.0637236672708578	0.356610185048324	0.074198960654498	0.148397921308996	85	0.197776540683247	0.1536469015214	0.263472514313481
beta-Alanine metabolism	0.167102222917142	0.238078006077666	0.0819041985737681	0.158844506324884	25	0.248476630794787	0.508092862852784	0.039829954790533
Metabolism of xenobiotics by cytochrome P450	0.210090972694625	0.220950372695221	0.0988456040969512	0.186062313594261	21	0.181627011147573	0.328966378335811	0.189645680797179
Folate biosynthesis	0.137655113852472	0.26300431731052	0.113540656316007	0.207617200120699	37	0.23941450809939	0.673074800993057	0.0334461873492936
Alanine, aspartate and glutamate metabolism	0.15647451192152	0.403348759987643	0.124761543434991	0.221798299439984	36	0.329349988854883	0.250858277140042	0.189166700466293
Biosynthesis of unsaturated fatty acids	0.201528500173829	0.32391518140902	0.153752640093568	0.265950512594279	18	0.47252691612534	0.392110739072634	0.0771124492877919
Phenylalanine metabolism	0.233562790969303	0.259017606416788	0.166442817062918	0.280324744527021	15	0.434016974377256	0.149099325373932	0.318921992128929
Lysine degradation	0.181542322510882	0.263298247433289	0.185379955275787	0.304213259939753	22	0.316604974470556	0.424095714094481	0.188987575577151
Drug metabolism - cytochrome P450	0.272483248166034	0.206628134433716	0.195744481773018	0.313191170836829	18	0.26304147124427	0.374309223200901	0.298135334462949
Pyrimidine metabolism	0.130928129779545	0.37565597894794	0.208532417922862	0.319511317388743	48	0.388831315419587	0.0989421201553917	0.565279453304083
Tyrosine metabolism	0.233840812574582	0.236195193847768	0.209679302036363	0.319511317388743	21	0.473804520811294	0.261286758067053	0.243967249425467
Butanoate metabolism	0.29812721099127	0.214771321684836	0.258547978488238	0.38481559588947	16	0.239846402633275	0.345043884944956	0.493402202615639
Glyoxylate and dicarboxylate metabolism	0.265444552534774	0.39528289554366	0.290865698034231	0.423077378958881	53	0.624268517509178	0.215911772783104	0.313927200026603
Glycine, serine and threonine metabolism	0.315263444695861	0.384784172916452	0.349265281522299	0.496732844831714	57	0.387088768803948	0.548340711149881	0.306643511094801
Other carbon fixation pathways	0.389559017087803	0.331825194629264	0.420574130030339	0.585146615694385	26	0.340677373781912	0.552681150104165	0.472507062098763
Propanoate metabolism	0.40280794098658	0.268687968273039	0.45099296149233	0.614118075223598	39	0.647234964807685	0.514049248478952	0.265527315516814
Drug metabolism - other enzymes	0.350873131462065	0.330258482617488	0.479559321330193	0.639412428440258	39	0.475293447075394	0.562565456161853	0.426892473585246
Ubiquinone and other terpenoid-quinone biosynthesis	0.414554651448008	0.321823949971793	0.573378639005991	0.747404731391478	22	0.761018486058842	0.523689092582327	0.326860806985926
Selenocompound metabolism	0.426219107234571	0.350665404554162	0.583909946399592	0.747404731391478	18	0.299231663121932	0.671807002920924	0.673188876203485
Thiamine metabolism	0.344669490806214	0.372951142631994	0.634222055784119	0.781354214187091	33	0.252521880508244	0.895163122387421	0.502514606858
Carotenoid biosynthesis	0.335618790680656	0.262997239138793	0.634850299027011	0.781354214187091	22	0.569441142915461	0.474419939284695	0.686621818427138
Terpenoid backbone biosynthesis	0.640601215503293	0.342208483517269	0.783665535471748	0.945159774895946	27	0.805679610015855	0.66252251940272	0.530919498419329
Valine, leucine and isoleucine degradation	0.454189515266758	0.273960762291368	0.797478560068455	0.945159774895946	25	0.740840941596224	0.456308716886879	0.817528733056317
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.752669108479635	0.321465321049444	0.905011493679285	1	23	0.713156664862606	0.83814991147421	0.764420475727911
One carbon pool by folate	0.69194774050962	0.504343846942616	0.910653561882931	1	28	0.671420349273888	0.916227966005606	0.69331494833528
Arginine biosynthesis	0.565258975156432	0.457130187468309	0.917739666423871	1	27	0.905722995604578	0.605196492521156	0.795571779177849
Other types of O-glycan biosynthesis	0.78293399271689	0.504050925925926	0.95174433456107	1	15	0.775860086228969	0.826309864235901	0.881141452330352
N-Glycan biosynthesis	0.629543291919447	0.282725589618178	0.965552942384114	1	30	0.804296012831995	0.855195681221837	0.891538158918358
Fatty acid biosynthesis	0.759014048807501	0.437472742523685	0.980826118141806	1	38	0.991355935782312	0.596808221210071	0.831891196274444
Various types of N-glycan biosynthesis	0.71034730335432	0.317721261344645	0.989104744310767	1	20	0.806037801299418	0.951365058937472	0.926707588734954
Porphyrin metabolism	0.882674444141787	0.341623163238269	0.997624331353319	1	61	0.935286378602894	0.965401057015814	0.940244283975094
Biotin metabolism	0.950222678532005	0.44503146129304	0.999963530551449	1	20	0.997532151094595	0.921042213146251	0.9959376623623
Photosynthesis - antenna proteins	0.994493285165645	0.831747310724895	1	1	19	1	1	1
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Lysine biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Vitamin B6 metabolism	NA	NA	NA	NA	10	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Arachidonic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
alpha-Linolenic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
Fatty acid elongation	NA	NA	NA	NA	11	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Cyanoamino acid metabolism	NA	NA	NA	NA	10	NA	NA	NA
Isoquinoline alkaloid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Tropane, piperidine and pyridine alkaloid biosynthesis	NA	NA	NA	NA	12	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Steroid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Histidine metabolism	NA	NA	NA	NA	10	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Cutin, suberine and wax biosynthesis	NA	NA	NA	NA	13	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
