p.geomean	stat.mean	p.val	q.val	set.size	h2o2_1	h2o2_2	h2o2_3
Starch and sucrose metabolism	0.000452274513261392	0.224711629108594	1.12921375543829e-08	3.44141334990717e-08	76	0.000684942064571532	0.00485107962680055	4.87755946753736e-05
Inositol phosphate metabolism	0.000263530821888457	0.326192571559228	1.28673204784999e-08	3.74322050283634e-08	38	0.00575837444488223	6.86281156503044e-05	0.000475266424241736
Arginine biosynthesis	0.000563566369734244	0.369171669865279	2.09386033027943e-08	5.82639396251668e-08	27	0.00151914359948389	0.00022289829249351	0.00125893920764878
Thiamine metabolism	0.000733429651737005	0.334122066856246	6.61159219294266e-08	1.76309125145137e-07	33	0.00381024590392994	0.00296589964998782	0.000100459047416284
Valine, leucine and isoleucine biosynthesis	0.000411232386928399	0.508523712157819	9.53958727469209e-08	2.44213434232117e-07	17	0.0399466124870901	2.11072936462777e-06	0.00380155384520272
Pyrimidine metabolism	0.000977818828771855	0.304878770768481	1.92263470717037e-07	4.73263927918859e-07	48	0.00181471467716473	0.000996731627507647	0.00261275472850335
Glycerophospholipid metabolism	0.00186977007122767	0.233441302408731	4.83770338372882e-07	1.14671487614313e-06	56	0.000925644585512544	0.010680505734762	0.00107331755391813
Purine metabolism	0.00137619811245242	0.165132989219318	8.34023528786598e-07	1.90633949436937e-06	161	0.000483782433643718	0.000691353262398474	0.0360532049395962
Terpenoid backbone biosynthesis	0.00258057083830444	0.3269252181566	1.19916086278044e-06	2.6464239730327e-06	27	0.00587494527840225	0.000661837585041753	0.00736386386783128
Fructose and mannose metabolism	0.00179712936906648	0.316409950062745	1.72364831904217e-06	3.67711641395663e-06	35	0.00825806802560725	0.0171567530974888	0.000210274449806386
Ascorbate and aldarate metabolism	0.00141583653405462	0.371005333515377	1.95142893454483e-06	4.02875651002805e-06	27	0.00132010381988087	0.0117506469393028	0.00322465695936411
Amino sugar and nucleotide sugar metabolism	0.00284404834263192	0.248688177827092	2.34226181142838e-06	4.68452362285675e-06	47	0.00927891171113886	0.0231236867332777	0.000170050536767898
Glutathione metabolism	0.00391349330575013	0.222816474643128	3.82899199557452e-06	7.42592387020514e-06	54	0.0134795009395531	0.00171227652628608	0.00451140553665096
Selenocompound metabolism	0.00463974181140098	0.403384015980998	1.32616432815086e-05	2.49630932357809e-05	18	0.0430722622329463	0.00121257237765982	0.00572806967857881
Other carbon fixation pathways	0.00493225897074072	0.326151338367091	2.46820225736293e-05	4.51328412774936e-05	26	0.0345193154233549	0.0152562329843915	0.00115111481389469
Nicotinate and nicotinamide metabolism	0.00492156617375945	0.349373414498526	5.13560842380606e-05	8.98221327809319e-05	24	0.00134860775664732	0.329715934873488	0.00050727736468431
Biotin metabolism	0.0109659134567023	0.331877722396238	5.19284205139762e-05	8.98221327809319e-05	20	0.00384596277536844	0.0396497151068822	0.0106474481664871
Folate biosynthesis	0.0139953910208084	0.239249845452531	8.074262981892e-05	0.000135987587063444	37	0.0149840060761987	0.0107370845233032	0.0194867406500417
Fatty acid degradation	0.0111486854116374	0.309565068908845	0.000142030879339758	0.000233076314813963	25	0.120967566086335	0.0342134690401057	0.000493886027511139
Arginine and proline metabolism	0.0119880261727797	0.269830956480314	0.000167049729079212	0.000267279566526739	36	0.0019563797542083	0.0184370663887283	0.107275594060281
Tryptophan metabolism	0.00926016403263364	0.333133487246436	0.00018495595386894	0.000288711732868589	20	0.0162781022793585	0.051629046286334	0.00818667833876087
Pentose and glucuronate interconversions	0.016133701938817	0.368964628123899	0.000280355832963968	0.000427208888326046	15	0.0624895394223896	0.0231967438566691	0.0071533368979031
Glycerolipid metabolism	0.0176171146302863	0.21622145192045	0.000372138115922627	0.000553879986489491	43	0.0192680364824294	0.0361201112408563	0.0241325360306379
Other types of O-glycan biosynthesis	0.0229742576641295	0.376733749055178	0.000994569332734369	0.00141900229510692	15	0.0235914945981026	0.0128872250928027	0.126936496200987
Galactose metabolism	0.0298365510071854	0.218325804187614	0.000997735988747056	0.00141900229510692	36	0.0527376336519572	0.04107502773503	0.0229457217324691
Propanoate metabolism	0.0148171073684212	0.27973544620777	0.00166060113379017	0.00231040157744719	39	0.525798238254735	0.0374663683462223	0.000376237234883082
Drug metabolism - other enzymes	0.0205946438660572	0.302730210021732	0.00220789585530679	0.00300649648382201	39	0.174336376316482	0.0412046419538539	0.012010275136722
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.04102334628358	0.252761313246131	0.00297607141665556	0.00396809522220741	23	0.0458386138237272	0.117877417278439	0.0292746209823626
Carotenoid biosynthesis	0.0421406202403754	0.262595649269115	0.00337079550739072	0.00440267168312257	22	0.0416398733364889	0.0918465714556002	0.0514144723075143
Valine, leucine and isoleucine degradation	0.047870890642666	0.272160049098026	0.00689181734888406	0.0088215262065716	25	0.189698602180713	0.0933250140754403	0.0194036172617964
Biosynthesis of unsaturated fatty acids	0.0263041692304981	0.371062405175812	0.00952088608526147	0.0119477786167987	18	0.797431325547957	0.0534360514766462	0.000516779095727461
Various types of N-glycan biosynthesis	0.0558950888435235	0.296072075158168	0.0103589798212693	0.0127495136261776	20	0.109057726591811	0.0306047631520623	0.183303464490476
Ubiquinone and other terpenoid-quinone biosynthesis	0.0642446430592244	0.292271444411887	0.0237706319576412	0.0287041593450762	22	0.0170811699369087	0.600051585000392	0.0585227948442392
N-Glycan biosynthesis	0.066462344175906	0.265285041777527	0.0315097546274422	0.0373448943732649	30	0.143123119397007	0.0460087844290677	0.319630093658344
Sphingolipid metabolism	0.142218218502805	0.246241422311755	0.0551606140319695	0.06418689632811	16	0.281978732929863	0.219243257697394	0.0786913780626748
Pantothenate and CoA biosynthesis	0.138689178879403	0.26264732186679	0.0634856915944063	0.072555076107893	24	0.430545316873207	0.0980885450447215	0.119823195485408
Riboflavin metabolism	0.0989734626419581	0.350619144104708	0.0714512107710084	0.0802259208656936	16	0.0764515298310387	0.165748090972166	0.445469891779293
Tyrosine metabolism	0.16538595480604	0.236528413412716	0.0837781790881944	0.0924448872697318	21	0.290508675699404	0.384812653106176	0.0610962316589807
Metabolism of xenobiotics by cytochrome P450	0.199091518133896	0.224565027742664	0.148997303153877	0.161624193251664	21	0.0507133248231162	0.613269758045039	0.325455925671485
Phenylalanine metabolism	0.233383657810988	0.269555480776989	0.176087780135402	0.187826965477762	15	0.405096667177229	0.437717687858142	0.112273354930828
Lysine degradation	0.138268808922362	0.294767491996992	0.30407706977974	0.319031679768908	22	0.255942815675908	0.363021299403684	0.54706880974003
Drug metabolism - cytochrome P450	0.355580496088621	0.217875752656886	0.440427901939238	0.454635253614697	18	0.133453402287633	0.708669750097724	0.618332362657701
beta-Alanine metabolism	0.271805581946485	0.265708996886555	0.460641630406673	0.466482991706426	25	0.557075798372728	0.916409887376115	0.0449394052877862
Butanoate metabolism	0.403483150837159	0.232568874922228	0.466482991706426	0.466482991706426	16	0.728029933195765	0.502030068115487	0.224332209880332
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Lysine biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Vitamin B6 metabolism	NA	NA	NA	NA	10	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Arachidonic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
alpha-Linolenic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
Fatty acid elongation	NA	NA	NA	NA	11	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Cyanoamino acid metabolism	NA	NA	NA	NA	10	NA	NA	NA
Isoquinoline alkaloid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Tropane, piperidine and pyridine alkaloid biosynthesis	NA	NA	NA	NA	12	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Steroid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Histidine metabolism	NA	NA	NA	NA	10	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Cutin, suberine and wax biosynthesis	NA	NA	NA	NA	13	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
