p.geomean	stat.mean	p.val	q.val	set.size	h2o2_1	h2o2_2	h2o2_3
Other carbon fixation pathways	0.472491245457791	0.0456487034941818	0.530941036330272	0.999999985242449	26	0.509180845478183	0.588987027007717	0.45482254742397
Glutathione metabolism	0.479165564310664	0.0622517049277772	0.542581236339205	0.999999985242449	54	0.458130076892215	0.559244339148061	0.55618967793523
Biosynthesis of unsaturated fatty acids	0.442801238572836	0.068487511428144	0.546857459793308	0.999999985242449	18	0.719605074573779	0.515478768454153	0.338496022512809
Valine, leucine and isoleucine degradation	0.467414750243559	0.143920519290172	0.59728171667514	0.999999985242449	25	0.83577513531998	0.545821352930344	0.252795726386175
Steroid biosynthesis	0.531128487399148	0.148309182899491	0.599206248764236	0.999999985242449	11	0.607544147473922	0.363010204983654	0.69593782715275
Phenylalanine, tyrosine and tryptophan biosynthesis	0.358797946173157	0.175609898629113	0.616536535768207	0.999999985242449	26	0.174005537913633	0.470063867571566	0.936611796413343
Tropane, piperidine and pyridine alkaloid biosynthesis	0.496863295817104	0.200518060170804	0.633301237939465	0.999999985242449	12	0.230011565800792	0.698702916138859	0.79048010652335
Arginine biosynthesis	0.53674391980162	0.206212055437206	0.63786978339336	0.999999985242449	27	0.504612774781991	0.558985477447366	0.674025507319686
Lysine degradation	0.562088997217715	0.231256224097583	0.65423243521061	0.999999985242449	22	0.594283591500925	0.54397282671349	0.63239552670168
Isoquinoline alkaloid biosynthesis	0.56411905649973	0.243033402218229	0.660022949005611	0.999999985242449	11	0.411866631432591	0.631313485276914	0.726388747074829
Vitamin B6 metabolism	0.505371888348589	0.272020852002708	0.673653088780749	0.999999985242449	10	0.763220449038628	0.382242151255567	0.641458462620763
Pantothenate and CoA biosynthesis	0.550809935832459	0.328691526694301	0.712358611789642	0.999999985242449	24	0.778991367210876	0.424800583885784	0.652206336968555
Amino sugar and nucleotide sugar metabolism	0.622070113201012	0.350728251967815	0.72739373607201	0.999999985242449	47	0.612901932444063	0.684518050900628	0.610469221841852
Oxidative phosphorylation	0.382306737790261	0.405075772201523	0.756101032106334	0.999999985242449	85	0.89362471241722	0.405316044076871	0.577419654574135
Nitrogen metabolism	0.589191076043609	0.416066269621487	0.761811292502773	0.999999985242449	32	0.410985262967218	0.577719597610189	0.896599843050506
Lysine biosynthesis	0.476247060354179	0.487943315286576	0.775906218695375	0.999999985242449	11	0.760435982493068	0.339766277192749	0.845910898034122
Histidine metabolism	0.603144485031382	0.476509572685304	0.785515601167323	0.999999985242449	10	0.404549801723687	0.867141694860661	0.690964244656292
Sulfur metabolism	0.556873162324997	0.550695317587899	0.825659606310322	0.999999985242449	27	0.534692436588964	0.645706233296248	0.877457156469712
Folate biosynthesis	0.67035535539505	0.546471533356698	0.826456055003619	0.999999985242449	37	0.576403247693321	0.673754462245171	0.837825679963802
Glyoxylate and dicarboxylate metabolism	0.552738123404195	0.577452910758051	0.839014729485383	0.999999985242449	53	0.865190504005606	0.710165004392963	0.522984148577435
Citrate cycle (TCA cycle)	0.625854081808162	0.667476082153582	0.873518687833712	0.999999985242449	37	0.780261775330999	0.801313013590116	0.640820530660317
Riboflavin metabolism	0.708163291323492	0.724319406361607	0.889725229035767	0.999999985242449	16	0.779249797401057	0.633433752844262	0.844053201878366
Glycine, serine and threonine metabolism	0.559191533279195	0.846985975223332	0.926496649087002	0.999999985242449	57	0.905792222786391	0.731875555185164	0.71837451287958
Propanoate metabolism	0.760048039051583	0.874243990955244	0.933402730156093	0.999999985242449	39	0.869228391893656	0.89275675524782	0.593599090535913
Terpenoid backbone biosynthesis	0.734853441089194	0.903811467953895	0.938091320152145	0.999999985242449	27	0.752150880852825	0.864944913132463	0.810963066289289
Lipoic acid metabolism	0.610870182275365	0.941381799065769	0.943528493062785	0.999999985242449	32	0.978798978217787	0.750649045778489	0.515711137363658
Selenocompound metabolism	0.754661543902721	0.940598981579657	0.944275993331831	0.999999985242449	18	0.899330213168363	0.685390343013172	0.840463981905856
Fatty acid biosynthesis	0.781690205809148	0.968769058378079	0.95163773734286	0.999999985242449	38	0.635247253201644	0.916434340669987	0.874840953304711
Thiamine metabolism	0.705353353637438	1.00540539929393	0.956633298726795	0.999999985242449	33	0.916721318999837	0.869430765047471	0.677152732694644
Photosynthesis	0.586602023676581	1.22686248215574	0.981166425587805	0.999999985242449	74	0.995164866017253	0.682648412122776	0.704530603633616
Purine metabolism	0.866190368559177	1.20602704700156	0.981427595815154	0.999999985242449	161	0.873927225825009	0.868134995523351	0.911028309070803
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.830127102723491	1.24754283803226	0.982834115301987	0.999999985242449	23	0.904631487253412	0.880203680656139	0.881174318193088
Pyrimidine metabolism	0.860195605246824	1.43827748244069	0.992989530292791	0.999999985242449	48	0.907839746817468	0.910046512175222	0.943694342682131
Various types of N-glycan biosynthesis	0.929507755382082	1.61248450493702	0.996747385380714	0.999999985242449	20	0.945646313776422	0.916080732473905	0.958183368815286
Drug metabolism - other enzymes	0.927185366086544	1.71681035589781	0.9982587678543	0.999999985242449	39	0.891079208895276	0.982356031219139	0.957557612786547
Other types of O-glycan biosynthesis	0.946062571859869	1.82007051328392	0.998736190972123	0.999999985242449	15	0.94490237775038	0.97261368671244	0.956627948171966
Biotin metabolism	0.925551915297968	1.89654577967681	0.99921364118462	0.999999985242449	20	0.852885022351724	0.971160425470072	0.99426195983093
One carbon pool by folate	0.877022735048039	1.99947932432585	0.999575722325089	0.999999985242449	28	0.997943387877537	0.918690579592538	0.934890485828555
N-Glycan biosynthesis	0.960863639514194	2.13178313952409	0.999828595493597	0.999999985242449	30	0.980435793985614	0.952355549239468	0.993259595863777
Porphyrin metabolism	0.975956263141746	2.33727024342187	0.999966326969405	0.999999985242449	61	0.990219692131817	0.994210931832789	0.97950452953287
Cysteine and methionine metabolism	0.940843874624748	2.58589248610472	0.999994211678806	0.999999985242449	68	0.998242165400174	0.979431228132662	0.995792886079025
Photosynthesis - antenna proteins	0.972815315757374	3.60477684094803	0.999999985242449	0.999999985242449	19	0.999556935540638	0.99979192826758	0.99701089261102
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
