p.geomean	stat.mean	p.val	q.val	set.size	h2o2_1	h2o2_2	h2o2_3
Fatty acid biosynthesis	0.150351066072058	0.968769058378079	0.0483622626571406	0.241811313285703	38	0.364752746798356	0.0835656593300127	0.125159046695289
Selenocompound metabolism	0.153874444412345	0.940598981579657	0.0557240066681691	0.249139001193598	18	0.100669786831637	0.314609656986828	0.159536018094144
Lipoic acid metabolism	0.10093312422139	0.941381799065769	0.0564715069372156	0.249139001193598	32	0.0212010217822134	0.249350954221511	0.484288862636342
Terpenoid backbone biosynthesis	0.153476050440872	0.903811467953895	0.0619086798478551	0.257952832699396	27	0.247849119147175	0.135055086867537	0.189036933710711
Propanoate metabolism	0.175186114193381	0.874243990955244	0.066597269843907	0.262883959910159	39	0.130771608106344	0.10724324475218	0.406400909464087
Glycine, serine and threonine metabolism	0.118179311989741	0.846985975223332	0.0735033509129977	0.275637565923741	57	0.0942077772136092	0.268124444814836	0.28162548712042
Riboflavin metabolism	0.210138667741916	0.724319406361607	0.110274770964233	0.393838467729402	16	0.220750202598943	0.366566247155738	0.155946798121634
Citrate cycle (TCA cycle)	0.200384888643108	0.667476082153582	0.126481312166288	0.431186291475983	37	0.219738224669001	0.198686986409884	0.359179469339683
Glyoxylate and dicarboxylate metabolism	0.19970895149986	0.577452910758051	0.160985270514617	0.523021181069033	53	0.134809495994394	0.289834995607037	0.477015851422565
Folate biosynthesis	0.272581892727472	0.546471533356698	0.173543944996381	0.523021181069033	37	0.423596752306679	0.326245537754829	0.162174320036198
Sulfur metabolism	0.21458602066611	0.550695317587899	0.174340393689678	0.523021181069033	27	0.465307563411036	0.354293766703752	0.122542843530288
Histidine metabolism	0.275318180473651	0.476509572685304	0.214484398832677	0.618704996632721	10	0.595450198276313	0.132858305139339	0.309035755343708
Lysine biosynthesis	0.191662514706806	0.487943315286576	0.224093781304625	0.622482725846179	11	0.239564017506932	0.660233722807251	0.154089101965877
Nitrogen metabolism	0.290614560841953	0.416066269621487	0.238188707497227	0.630773192828448	32	0.589014737032782	0.422280402389812	0.103400156949494
Oxidative phosphorylation	0.172376541878574	0.405075772201523	0.243898967893667	0.630773192828448	85	0.10637528758278	0.594683955923129	0.422580345425865
Amino sugar and nucleotide sugar metabolism	0.352949307954093	0.350728251967815	0.27260626392799	0.681515659819974	47	0.387098067555937	0.315481949099372	0.389530778158148
Pantothenate and CoA biosynthesis	0.315448488530598	0.328691526694301	0.287641388210358	0.695906584379898	24	0.221008632789124	0.575199416114216	0.347793663031445
Vitamin B6 metabolism	0.320419706374413	0.272020852002708	0.326346911219251	0.762722569388361	10	0.236779550961372	0.617757848744433	0.358541537379237
Isoquinoline alkaloid biosynthesis	0.381746398288763	0.243033402218229	0.339977050994389	0.762722569388361	11	0.588133368567409	0.368686514723086	0.273611252925171
Lysine degradation	0.38649836757372	0.231256224097583	0.34576756478939	0.762722569388361	22	0.405716408499075	0.45602717328651	0.36760447329832
Arginine biosynthesis	0.380598564325319	0.206212055437206	0.36213021660664	0.763955754292781	27	0.495387225218009	0.441014522552634	0.325974492680314
Tropane, piperidine and pyridine alkaloid biosynthesis	0.359505228925186	0.200518060170804	0.366698762060535	0.763955754292781	12	0.769988434199208	0.301297083861141	0.209519893476649
Phenylalanine, tyrosine and tryptophan biosynthesis	0.261824550986597	0.175609898629113	0.383463464231793	0.774458237163192	26	0.825994462086367	0.529936132428434	0.0633882035866574
Steroid biosynthesis	0.419263801132453	0.148309182899491	0.400793751235764	0.774458237163192	11	0.392455852526078	0.636989795016346	0.30406217284725
Valine, leucine and isoleucine degradation	0.368686827236154	0.143920519290172	0.40271828332486	0.774458237163192	25	0.16422486468002	0.454178647069656	0.747204273613824
Biosynthesis of unsaturated fatty acids	0.397721844410505	0.068487511428144	0.453142540206692	0.818142354098464	18	0.280394925426221	0.484521231545847	0.661503977487191
Glutathione metabolism	0.429987008186792	0.0622517049277772	0.457418763660795	0.818142354098464	54	0.541869923107785	0.440755660851939	0.44381032206477
Other carbon fixation pathways	0.436644910496111	0.0456487034941818	0.469058963669728	0.818142354098464	26	0.490819154521817	0.411012972992283	0.54517745257603
Alanine, aspartate and glutamate metabolism	0.413048259542371	0.0442489123158859	0.469068283016453	0.818142354098464	36	0.53198359292603	0.402096377179509	0.513258130262037
Cutin, suberine and wax biosynthesis	0.458478903133079	-0.00549694463872262	0.50332976582194	0.857948464469217	13	0.639702128038125	0.423864933945505	0.439912819250301
Ascorbate and aldarate metabolism	0.470504620298719	-0.0228312811742088	0.515266842572533	0.858778070954221	27	0.749146242328837	0.339807293991077	0.4236684004556
Butanoate metabolism	0.507230095948019	-0.0510773782732384	0.534871044208965	0.872072354688529	16	0.514346529412601	0.572230466524513	0.473515708046885
Phenylalanine metabolism	0.527982868165147	-0.132197380769227	0.589292370932724	0.940360166382006	15	0.69726291341365	0.446201408969124	0.503864579262775
Fatty acid elongation	0.468231386094401	-0.158393799973489	0.605541684857751	0.946158882590236	11	0.400674424264544	0.601779544923535	0.676289003962981
Ubiquinone and other terpenoid-quinone biosynthesis	0.540117525596482	-0.221999577654941	0.647420780417657	0.990950174108658	22	0.767215027486834	0.434032565518213	0.536555845627872
Arginine and proline metabolism	0.42825926409145	-0.252924148359883	0.663892469057641	0.995838703586462	36	0.966403661709361	0.279491872297582	0.303911471742678
beta-Alanine metabolism	0.605687998469474	-0.358053866889079	0.730582984732036	0.99999999483715	25	0.693356762554128	0.447317055573852	0.755384899547874
Tyrosine metabolism	0.615014361623613	-0.370625938628488	0.737480306112175	0.99999999483715	21	0.763427015919009	0.576016501732002	0.576051660558718
Pyruvate metabolism	0.571211280976541	-0.370928270952741	0.738700422263206	0.99999999483715	76	0.607733782076088	0.736311368506987	0.580019862535305
Arachidonic acid metabolism	0.647675156927606	-0.461019919208103	0.783579017572039	0.99999999483715	13	0.765811992826612	0.562361438117816	0.683115910203793
Tryptophan metabolism	0.573687103864224	-0.479470035402712	0.792776939158877	0.99999999483715	20	0.573520603805686	0.586377248010816	0.843737221103603
Cyanoamino acid metabolism	0.626246804558566	-0.506017597162167	0.80305644434116	0.99999999483715	10	0.718880442303475	0.599424216112214	0.74065045986564
Carotenoid biosynthesis	0.672109722330589	-0.502855310387151	0.805874069009169	0.99999999483715	22	0.722858119215021	0.613818276391177	0.730313518458181
Valine, leucine and isoleucine biosynthesis	0.513246377541715	-0.615120535585009	0.841227181749572	0.99999999483715	17	0.433337253826683	0.966271235338094	0.528094196972122
Drug metabolism - cytochrome P450	0.701741567671575	-0.650219376733352	0.866117890772059	0.99999999483715	18	0.894926269263902	0.655027533987787	0.605424752295283
Methane metabolism	0.660483435579032	-0.697901185046511	0.883891465914171	0.99999999483715	41	0.604426223602398	0.724414297932681	0.886552872880706
Metabolism of xenobiotics by cytochrome P450	0.732852333690612	-0.749605634767094	0.899677505921771	0.99999999483715	21	0.905514964708992	0.692526441409544	0.655376425537616
Glycolysis / Gluconeogenesis	0.702772706132233	-0.840289664063307	0.926027425728177	0.99999999483715	78	0.642095601132403	0.894176538748128	0.814034939829781
alpha-Linolenic acid metabolism	0.754484495959764	-0.92596298598219	0.939261987511941	0.99999999483715	13	0.716859631790788	0.734957128043614	0.930677348653208
Fatty acid degradation	0.798102061264402	-0.927514983482137	0.943598495002472	0.99999999483715	25	0.801682281339155	0.726896524550349	0.902416996876709
Pentose and glucuronate interconversions	0.765022619632915	-0.969099510943704	0.948234437076232	0.99999999483715	15	0.621325912994806	0.864333604827778	0.920842939048303
Inositol phosphate metabolism	0.835132871883941	-1.12036806334691	0.972591975851932	0.99999999483715	38	0.953363828100099	0.72891191666135	0.850412232039
Galactose metabolism	0.885430019152494	-1.30182521019425	0.987079862423262	0.99999999483715	36	0.871753619657772	0.906272931759313	0.92031408965467
Nicotinate and nicotinamide metabolism	0.789455514095534	-1.43489784173148	0.992062775093265	0.99999999483715	24	0.970792158196573	0.528099612258481	0.986595329082693
Glycerophospholipid metabolism	0.875516252956094	-1.40906140952301	0.992184296201056	0.99999999483715	56	0.967350342023621	0.759841208758845	0.949297633909586
Sphingolipid metabolism	0.902564989085561	-1.46787093589369	0.993187928895709	0.99999999483715	16	0.899607735030494	0.90759741826674	0.952301044478844
Glycerolipid metabolism	0.891079607626898	-1.50212296478508	0.994887578462943	0.99999999483715	43	0.975632731712315	0.886900918389802	0.897425323530973
Fructose and mannose metabolism	0.932490218090845	-1.63117679492115	0.997278263928647	0.99999999483715	35	0.890004271836679	0.962122108596142	0.964999566151166
Carbon fixation by Calvin cycle	0.868488607015718	-1.69256077816509	0.998063087274226	0.99999999483715	59	0.898142691450703	0.956306805531674	0.978423223455761
Pentose phosphate pathway	0.951354565888849	-2.05062681049538	0.999743853906692	0.99999999483715	38	0.95517178376658	0.971603240486864	0.992142331262439
Starch and sucrose metabolism	0.998568900943409	-3.3786159298392	0.99999999483715	0.99999999483715	76	0.999685694038052	0.998239367795033	0.99982780466258
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
