p.geomean	stat.mean	p.val	q.val	set.size	nacl_1	nacl_2	nacl_3
Methane metabolism	0.002643582109522	0.339251377058222	1.77332651929734e-06	4.20344063833443e-06	41	0.0521700261945059	0.00242761820320643	0.000165535042815014
Various types of N-glycan biosynthesis	0.00586845871538445	0.35686696592104	7.47209776293597e-06	1.70790806009965e-05	20	0.0054379211869072	0.00531648713184061	0.00824846157327553
Carbon fixation by Calvin cycle	0.00429606105819128	0.281532813416474	8.04932472548195e-06	1.7764026980374e-05	59	0.0943738044005814	0.000915019919788342	0.00118410708193457
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.00516307057644121	0.331003033661814	9.32817959199812e-06	1.99001164629293e-05	23	0.02079418473445	0.0031421790707491	0.00410052040452297
Propanoate metabolism	0.00625741925017159	0.252710925129745	1.06850296257308e-05	2.20594160015088e-05	39	0.0199285764548839	0.00186921790725923	0.00804895699315986
Pyruvate metabolism	0.00758027754799046	0.240452190891109	1.84707312895168e-05	3.69414625790336e-05	76	0.0165814283628027	0.00754181154147703	0.00485963222882077
Glycolysis / Gluconeogenesis	0.00928159670071134	0.283731377623621	4.31975581611446e-05	8.3777082494341e-05	78	0.0519261030250938	0.00892914376243209	0.00251653616706231
Amino sugar and nucleotide sugar metabolism	0.0116743138066271	0.228205114804668	5.30580596180233e-05	9.98739945751026e-05	47	0.0131765200206143	0.00740002650298191	0.0199149441799441
Glutathione metabolism	0.0132531670618545	0.220012532918164	0.000193140638478037	0.000353171453216982	54	0.141242537392205	0.0342985241057592	0.000573543035006815
Ascorbate and aldarate metabolism	0.0170696838409704	0.285683747219028	0.000227762769958193	0.000404911591036788	27	0.0549822267941864	0.0116054879985804	0.0137750212985183
Valine, leucine and isoleucine biosynthesis	0.0126770971189923	0.429181278322295	0.000266679923034575	0.000459580044256914	17	0.165832357338911	0.0144889912979527	0.0022257130538355
Arginine and proline metabolism	0.0209697713111854	0.237720104022716	0.000272875651277543	0.000459580044256914	36	0.0162058656359834	0.030215680585947	0.0243518969057829
Other carbon fixation pathways	0.0258605428600847	0.28980192870638	0.000580519346565829	0.000952647132825976	26	0.0831109043903787	0.0450126242291183	0.00544077758472914
Biosynthesis of unsaturated fatty acids	0.0353249807513438	0.316662814359607	0.00137925624311831	0.0022068099889893	18	0.192909132088131	0.0236779295126165	0.00978578100222607
Ubiquinone and other terpenoid-quinone biosynthesis	0.0649951064607713	0.268897957994628	0.00906498402977198	0.0141502189733026	22	0.240418128402856	0.0646325344125338	0.0306870908931178
Riboflavin metabolism	0.0617373019017042	0.328222996551897	0.0143426421716635	0.021855454737773	16	0.444638977053312	0.0409030383215362	0.0280772389592955
Tryptophan metabolism	0.0745588914072371	0.3288438511832	0.0175759880942008	0.0261596101867175	20	0.221313115107702	0.0283473876867645	0.164700412414538
Inositol phosphate metabolism	0.108499393923876	0.277418073340767	0.0214207997753627	0.0311575269459821	38	0.101842668366459	0.0953518882789696	0.176647809487526
Pentose phosphate pathway	0.109944545676164	0.363390522109962	0.023747587681734	0.0337743469251328	38	0.31008224899479	0.0917083145689141	0.0540543516944634
Glycerophospholipid metabolism	0.123441998921149	0.265805401646021	0.0346546627528457	0.048215182960481	56	0.157531112518585	0.190553534783589	0.102831944493139
Pentose and glucuronate interconversions	0.164530811885445	0.334465878962876	0.063814775009733	0.0868967149068704	15	0.377353455681389	0.0899203118936165	0.162281836538511
Valine, leucine and isoleucine degradation	0.146935510193708	0.235487922141107	0.070153657842103	0.0935382104561374	25	0.502265671621165	0.105797331028271	0.0949878118957252
Fatty acid degradation	0.179524525946534	0.340221063248335	0.0767970831664586	0.100306394339864	25	0.358979827698843	0.301132308885036	0.0560056942641974
Pantothenate and CoA biosynthesis	0.11711427093622	0.263396173123964	0.0995613844207546	0.127438572058566	24	0.800072017868907	0.090830016343812	0.041791424529347
Fructose and mannose metabolism	0.223594587362626	0.420404060265686	0.122860476644031	0.154177853043489	35	0.32806736660678	0.250941737268153	0.185717369860173
Carotenoid biosynthesis	0.15916172002388	0.254691692780025	0.131379422531948	0.161697750808551	22	0.395985737253512	0.193939020736871	0.208255169154748
Phenylalanine metabolism	0.269184334641047	0.249464447711087	0.187027302933956	0.225844290335343	15	0.231185523315867	0.543345986075385	0.180477761677185
Lysine degradation	0.174450282067707	0.269311903857858	0.209431088543341	0.248214623458775	22	0.302555543198688	0.228942370319919	0.444019743142174
Butanoate metabolism	0.326864963685643	0.231149001304828	0.287581785948943	0.334640623649679	16	0.684323494149234	0.253325001827756	0.215784086383802
Tyrosine metabolism	0.360651506860697	0.237472499251955	0.41471493356198	0.473959924070834	21	0.273592121980156	0.767668986483089	0.307711523075111
Galactose metabolism	0.327476154886319	0.265657921436749	0.469528124822964	0.527189473485434	36	0.547291907288827	0.507724234026159	0.393345092930188
beta-Alanine metabolism	0.447429241109563	0.231162322896294	0.493015186849947	0.54401675790339	25	0.615965403808669	0.424506159248357	0.446365437066936
Nicotinate and nicotinamide metabolism	0.256756128155046	0.361608011751067	0.510229138229415	0.553468895706484	24	0.854505799724153	0.481811799704553	0.167038807819453
Glycerolipid metabolism	0.645358238409665	0.300588273914064	0.799320299820049	0.852608319808053	43	0.800497289637769	0.715975464524188	0.515636117274487
Metabolism of xenobiotics by cytochrome P450	0.68782630964832	0.278556711182145	0.89234874664622	0.936234750579641	21	0.491239975941858	0.926638546234817	0.763302883073253
Drug metabolism - cytochrome P450	0.900557766832371	0.285038058425895	0.995321942377614	0.999745736742267	18	0.809372992492741	0.936408075113201	0.982148532614689
Starch and sucrose metabolism	0.935640770614605	0.363037758494341	0.999347670164589	0.999745736742267	76	0.989258330501205	0.981952876267581	0.879645591532539
Sphingolipid metabolism	0.932989575134734	0.320971340275633	0.999745736742267	0.999745736742267	16	0.994514438751312	0.937205732240649	0.974151475412389
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Lysine biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Vitamin B6 metabolism	NA	NA	NA	NA	10	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Arachidonic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
alpha-Linolenic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
Fatty acid elongation	NA	NA	NA	NA	11	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Cyanoamino acid metabolism	NA	NA	NA	NA	10	NA	NA	NA
Isoquinoline alkaloid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Tropane, piperidine and pyridine alkaloid biosynthesis	NA	NA	NA	NA	12	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Steroid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Histidine metabolism	NA	NA	NA	NA	10	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Cutin, suberine and wax biosynthesis	NA	NA	NA	NA	13	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
