p.geomean	stat.mean	p.val	q.val	set.size	HL_1	HL_2	HL_3
Ubiquinone and other terpenoid-quinone biosynthesis	0.0966643219100388	0.240008087470434	0.0209537013975043	0.0406374814981902	22	0.156042167565112	0.0736962822217998	0.143644060975327
Butanoate metabolism	0.11900381501655	0.256250155963437	0.022429968751283	0.0422211176494738	16	0.128021226249802	0.130596537373779	0.112170930032683
Galactose metabolism	0.115349871680773	0.233431045995569	0.025044921286573	0.0457964274954478	36	0.199579944701189	0.118645727106053	0.0855746134345777
Ascorbate and aldarate metabolism	0.110398513152633	0.242936644544958	0.043847839273748	0.0779517142644408	27	0.154945525364281	0.109011673311965	0.238685547732028
Glycerolipid metabolism	0.102918010331406	0.307089908973254	0.0579943649339029	0.0980908695495776	43	0.0519070352156765	0.530709661370559	0.120414952706927
beta-Alanine metabolism	0.132136934220602	0.251661227569301	0.0582414537950617	0.0980908695495776	25	0.0810654975297185	0.128370311427467	0.425929787876837
Lysine degradation	0.158423494090361	0.230142315276811	0.0608726790953829	0.0998936272334488	22	0.0667444528494214	0.224682403236539	0.336012437318488
Propanoate metabolism	0.177588125033346	0.232331872057995	0.0716914332775257	0.114706293244041	39	0.200361049475437	0.0969759997953293	0.346341511324358
Glycine, serine and threonine metabolism	0.167775589988212	0.246730580913812	0.0774390064382306	0.120880400293823	57	0.122677731398504	0.115037283759153	0.459382472012649
Starch and sucrose metabolism	0.190162472465076	0.225743689688778	0.0818733491452526	0.122132829231303	76	0.391977131935075	0.0979534605461825	0.199181262078116
Other carbon fixation pathways	0.203573057734259	0.308608350713614	0.0820579946397817	0.122132829231303	26	0.249079891379984	0.206220982865266	0.180643360178962
Sulfur metabolism	0.166174591013889	0.290162403530238	0.0945586551113121	0.13753986198009	27	0.374708468168583	0.11782222868617	0.220896800178276
Arginine and proline metabolism	0.179563428551163	0.289202234829002	0.11542518541978	0.164160263708132	36	0.299993000074571	0.457024151425875	0.0745188150931295
Cysteine and methionine metabolism	0.279311024498748	0.239522955096893	0.197468941133614	0.274739396359811	68	0.27145453556851	0.210681424759852	0.475691184569943
Selenocompound metabolism	0.314594872761342	0.249361570395441	0.222880998494681	0.299855980644391	18	0.281690490500833	0.376929504737628	0.333850364737008
Terpenoid backbone biosynthesis	0.284750590650991	0.247064508585107	0.224891985483293	0.299855980644391	27	0.337176120639478	0.171539284850058	0.523620011190151
Valine, leucine and isoleucine biosynthesis	0.316530958634868	0.273673249260854	0.281627870248346	0.367840483589677	17	0.126551293404636	0.588448280739915	0.467380544808634
Tryptophan metabolism	0.331249010259392	0.223804558601256	0.297159161439042	0.380363726641974	20	0.357898916283979	0.258608758725304	0.535558527619619
Glycerophospholipid metabolism	0.370443173666429	0.221464936534865	0.331949854974535	0.416564523889613	56	0.229087813412651	0.404548047865497	0.591268491961956
Various types of N-glycan biosynthesis	0.340683225431028	0.245735064186019	0.364111725344895	0.448137508116794	20	0.724764701146062	0.192114612491179	0.371155448077685
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.477322912665133	0.296835365795602	0.50144888628137	0.605523183434107	23	0.630052600096017	0.486920253177232	0.384795390888975
Sphingolipid metabolism	0.447014491850862	0.342044111505927	0.546198190291656	0.647346003308629	16	0.73162466559342	0.417496958756393	0.417455132433677
Phenylalanine metabolism	0.464959442612212	0.331725286012822	0.571767804302324	0.665329808642704	15	0.68222527958853	0.606636218860281	0.33315949536952
Biosynthesis of unsaturated fatty acids	0.439196019463426	0.371007926175903	0.720335819881335	0.82324093700724	18	0.809137085549167	0.382684473332176	0.668203045399236
Other types of O-glycan biosynthesis	0.460722191574058	0.337150010037671	0.7628542867489	0.856538146525081	15	0.32687230520895	0.910022826713788	0.635695847305325
Photosynthesis - antenna proteins	0.666414807610858	0.737463209373636	0.847946701404325	0.924305824217063	19	0.658201519238003	0.641385177261802	0.843811663597193
Amino sugar and nucleotide sugar metabolism	0.705432806952881	0.315204759123338	0.874137936933905	0.924305824217063	47	0.718863815499382	0.778429288729974	0.738542587689358
Carotenoid biosynthesis	0.676545956947811	0.239076534531406	0.880605461697128	0.924305824217063	22	0.792505001783079	0.804396026836006	0.643494762589813
Citrate cycle (TCA cycle)	0.69845083066879	0.464291948459244	0.880978988706888	0.924305824217063	37	0.721859250323632	0.613942305243356	0.878123065331068
Lipoic acid metabolism	0.719521504741129	0.337042533041831	0.917900337369028	0.938253743843784	32	0.759376448288534	0.720622236004667	0.868737405784424
Biotin metabolism	0.578262377019325	0.364997024550216	0.923593529096224	0.938253743843784	20	0.873131868590113	0.642103966185706	0.83418710546419
One carbon pool by folate	0.845981827853594	0.410825601245888	0.979601875722475	0.979601875722475	28	0.851945216294007	0.83290373289256	0.937307601222879
Caprolactam degradation	NA	NA	NA	NA	5	NA	NA	NA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	NA	NA	NA	NA	3	NA	NA	NA
Monobactam biosynthesis	NA	NA	NA	NA	9	NA	NA	NA
Lysine biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Primary bile acid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Vitamin B6 metabolism	NA	NA	NA	NA	10	NA	NA	NA
Mycolic acid biosynthesis	NA	NA	NA	NA	4	NA	NA	NA
Steroid hormone biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Phosphonate and phosphinate metabolism	NA	NA	NA	NA	4	NA	NA	NA
Arachidonic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
alpha-Linolenic acid metabolism	NA	NA	NA	NA	13	NA	NA	NA
Fatty acid elongation	NA	NA	NA	NA	11	NA	NA	NA
Glycosphingolipid biosynthesis - globo and isoglobo series	NA	NA	NA	NA	5	NA	NA	NA
Cyanoamino acid metabolism	NA	NA	NA	NA	10	NA	NA	NA
Isoquinoline alkaloid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Tropane, piperidine and pyridine alkaloid biosynthesis	NA	NA	NA	NA	12	NA	NA	NA
Biosynthesis of various nucleotide sugars	NA	NA	NA	NA	9	NA	NA	NA
Penicillin and cephalosporin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
D-Amino acid metabolism	NA	NA	NA	NA	5	NA	NA	NA
Prodigiosin biosynthesis	NA	NA	NA	NA	6	NA	NA	NA
C5-Branched dibasic acid metabolism	NA	NA	NA	NA	9	NA	NA	NA
Glucosinolate biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Lipopolysaccharide biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Steroid biosynthesis	NA	NA	NA	NA	11	NA	NA	NA
Benzoate degradation	NA	NA	NA	NA	1	NA	NA	NA
Styrene degradation	NA	NA	NA	NA	3	NA	NA	NA
Phenazine biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Histidine metabolism	NA	NA	NA	NA	10	NA	NA	NA
Indole alkaloid biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Betalain biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Cutin, suberine and wax biosynthesis	NA	NA	NA	NA	13	NA	NA	NA
Streptomycin biosynthesis	NA	NA	NA	NA	8	NA	NA	NA
Ether lipid metabolism	NA	NA	NA	NA	4	NA	NA	NA
Atrazine degradation	NA	NA	NA	NA	3	NA	NA	NA
Novobiocin biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Degradation of flavonoids	NA	NA	NA	NA	4	NA	NA	NA
Biosynthesis of various plant secondary metabolites	NA	NA	NA	NA	8	NA	NA	NA
Peptidoglycan biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Pinene, camphor and geraniol degradation	NA	NA	NA	NA	1	NA	NA	NA
Glycosaminoglycan biosynthesis - keratan sulfate	NA	NA	NA	NA	2	NA	NA	NA
Glycosphingolipid biosynthesis - lacto and neolacto series	NA	NA	NA	NA	2	NA	NA	NA
Retinol metabolism	NA	NA	NA	NA	2	NA	NA	NA
Carbapenem biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Zeatin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Polyketide sugar unit biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Other glycan degradation	NA	NA	NA	NA	8	NA	NA	NA
Caffeine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	NA	NA	NA	NA	3	NA	NA	NA
Exopolysaccharide biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Biosynthesis of ansamycins	NA	NA	NA	NA	2	NA	NA	NA
Neomycin, kanamycin and gentamicin biosynthesis	NA	NA	NA	NA	3	NA	NA	NA
Glycosphingolipid biosynthesis - ganglio series	NA	NA	NA	NA	4	NA	NA	NA
Taurine and hypotaurine metabolism	NA	NA	NA	NA	2	NA	NA	NA
Glycosaminoglycan degradation	NA	NA	NA	NA	3	NA	NA	NA
Aminobenzoate degradation	NA	NA	NA	NA	2	NA	NA	NA
Aflatoxin biosynthesis	NA	NA	NA	NA	2	NA	NA	NA
Mannose type O-glycan biosynthesis	NA	NA	NA	NA	1	NA	NA	NA
Chloroalkane and chloroalkene degradation	NA	NA	NA	NA	1	NA	NA	NA
Naphthalene degradation	NA	NA	NA	NA	1	NA	NA	NA
